platform,title,type,release_year,runtime,main_genre_clean,imdb_score,imdb_votes,exclusivity
Netflix,Inception,MOVIE,2010,148,action,8.8,2294231,Shared
Netflix,Insidious,MOVIE,2010,103,horror,6.8,303820,Shared
Netflix,Grown Ups,MOVIE,2010,102,comedy,5.9,249934,Netflix Exclusive
Netflix,The Book of Eli,MOVIE,2010,118,scifi,6.8,314920,Shared
Netflix,Let Me In,MOVIE,2010,116,drama,7.1,121008,Netflix Exclusive
Netflix,A Nightmare on Elm Street,MOVIE,2010,95,horror,5.2,99894,Shared
Netflix,How Do You Know,MOVIE,2010,121,comedy,5.4,50383,Netflix Exclusive
Netflix,Due Date,MOVIE,2010,95,comedy,6.5,341390,Netflix Exclusive
Netflix,Cop Out,MOVIE,2010,107,crime,5.5,88026,Netflix Exclusive
Netflix,Ip Man 2,MOVIE,2010,108,drama,7.5,104500,Netflix Exclusive
Netflix,Life As We Know It,MOVIE,2010,114,comedy,6.5,131623,Netflix Exclusive
Netflix,Death at a Funeral,MOVIE,2010,92,comedy,5.7,49901,Netflix Exclusive
Netflix,Louis C.K.: Hilarious,MOVIE,2010,84,comedy,8.4,12089,Netflix Exclusive
Netflix,Takers,MOVIE,2010,107,action,6.2,62464,Netflix Exclusive
Netflix,Alpha and Omega,MOVIE,2010,88,animation,5.1,14362,Netflix Exclusive
Netflix,Even the Rain,MOVIE,2010,104,drama,7.4,13533,Netflix Exclusive
Netflix,Udaan,MOVIE,2010,138,drama,8.1,44862,Netflix Exclusive
Netflix,"Cairo 6,7,8",MOVIE,2010,100,drama,7.4,4421,Netflix Exclusive
Netflix,The Boy Who Cried Werewolf,MOVIE,2010,97,fantasy,5.9,3315,Netflix Exclusive
Netflix,Naruto Shippuden the Movie: The Lost Tower,MOVIE,2010,85,animation,6.8,3650,Netflix Exclusive
Netflix,Bleach the Movie: Hell Verse,MOVIE,2010,94,fantasy,7.4,2416,Netflix Exclusive
Netflix,Guzaarish,MOVIE,2010,126,romance,7.4,18603,Netflix Exclusive
Netflix,Raajneeti,MOVIE,2010,167,drama,7.1,17697,Netflix Exclusive
Netflix,Ishqiya,MOVIE,2010,115,thriller,7.3,10469,Netflix Exclusive
Netflix,I Hate Luv Storys,MOVIE,2010,129,comedy,5.6,8042,Netflix Exclusive
Netflix,"LSD: Love, Sex aur Dhokha",MOVIE,2010,108,drama,7.2,5684,Netflix Exclusive
Netflix,Break Ke Baad,MOVIE,2010,120,comedy,5.1,4275,Netflix Exclusive
