platform,title,type,release_year,runtime,main_genre_clean,imdb_score,imdb_votes,,
Netflix,Inception,MOVIE,2010,148,action,"8,80",2.294.231,,
Netflix,Insidious,MOVIE,2010,103,horror,"6,80",303.820,,
Netflix,Grown Ups,MOVIE,2010,102,comedy,"5,90",249.934,,
Netflix,The Book of Eli,MOVIE,2010,118,scifi,"6,80",314.920,,
Netflix,Let Me In,MOVIE,2010,116,drama,"7,10",121.008,,1999
Netflix,A Nightmare on Elm Street,MOVIE,2010,95,horror,"5,20",99.894,,0
Netflix,How Do You Know,MOVIE,2010,121,comedy,"5,40",50.383,,
Netflix,Due Date,MOVIE,2010,95,comedy,"6,50",341.390,,
Netflix,Cop Out,MOVIE,2010,107,crime,"5,50",88.026,,
Netflix,Ip Man 2,MOVIE,2010,108,drama,"7,50",104.500,,
Netflix,Life As We Know It,MOVIE,2010,114,comedy,"6,50",131.623,,
Netflix,Death at a Funeral,MOVIE,2010,92,comedy,"5,70",49.901,,
Netflix,Louis C.K.: Hilarious,MOVIE,2010,84,comedy,"8,40",12.089,,
Netflix,Takers,MOVIE,2010,107,action,"6,20",62.464,,
Netflix,Alpha and Omega,MOVIE,2010,88,animation,"5,10",14.362,,
Netflix,Even the Rain,MOVIE,2010,104,drama,"7,40",13.533,,
Netflix,Udaan,MOVIE,2010,138,drama,"8,10",44.862,,
Netflix,"Cairo 6,7,8",MOVIE,2010,100,drama,"7,40",4.421,,
Netflix,The Boy Who Cried Werewolf,MOVIE,2010,97,fantasy,"5,90",3.315,,
Netflix,Whitney Cummings: Money Shot,MOVIE,2010,48,comedy,"6,20",917,,
Netflix,Naruto Shippuden the Movie: The Lost Tower,MOVIE,2010,85,animation,"6,80",3.650,,
Netflix,Bleach the Movie: Hell Verse,MOVIE,2010,94,fantasy,"7,40",2.416,,
Netflix,Guzaarish,MOVIE,2010,126,romance,"7,40",18.603,,
Netflix,Raajneeti,MOVIE,2010,167,drama,"7,10",17.697,,
Netflix,Ishqiya,MOVIE,2010,115,thriller,"7,30",10.469,,
Netflix,I Hate Luv Storys,MOVIE,2010,129,comedy,"5,60",8.042,,
Netflix,"LSD: Love, Sex aur Dhokha",MOVIE,2010,108,drama,"7,20",5.684,,
Netflix,Break Ke Baad,MOVIE,2010,120,comedy,"5,10",4.275,,
Netflix,Dhobi Ghat,MOVIE,2010,102,drama,"7,00",13.167,,
Netflix,Karthik Calling Karthik,MOVIE,2010,135,thriller,"7,10",12.114,,
Netflix,Romantik Komedi,MOVIE,2010,95,comedy,"5,30",5.111,,
Netflix,Once Upon a Time in Mumbaai,MOVIE,2010,132,thriller,"7,40",17.642,,
Netflix,The Unjust,MOVIE,2010,119,thriller,"6,60",2.217,,
Netflix,We Are Family,MOVIE,2010,115,drama,"5,60",3.166,,
Netflix,Love in a Puff,MOVIE,2010,104,romance,"7,10",2.625,,
Netflix,Do Dooni Chaar,MOVIE,2010,146,drama,"7,50",5.594,,
Netflix,Peepli Live,MOVIE,2010,104,drama,"7,40",12.309,,
Netflix,Ijé: The Journey,MOVIE,2010,106,drama,"6,20",110,,
Netflix,My Amnesia Girl,MOVIE,2010,110,comedy,"6,70",432,,
Netflix,Stray Bullet,MOVIE,2010,76,drama,"6,30",368,,
