platform,title,type,release_year,runtime,main_genre_clean,imdb_score,imdb_votes
Netflix,Inception,MOVIE,2010,148,action,8.8,2294231
Netflix,Insidious,MOVIE,2010,103,horror,6.8,303820
Netflix,Grown Ups,MOVIE,2010,102,comedy,5.9,249934
Netflix,The Book of Eli,MOVIE,2010,118,scifi,6.8,314920
Netflix,Let Me In,MOVIE,2010,116,drama,7.1,121008
Netflix,A Nightmare on Elm Street,MOVIE,2010,95,horror,5.2,99894
Netflix,How Do You Know,MOVIE,2010,121,comedy,5.4,50383
Netflix,Due Date,MOVIE,2010,95,comedy,6.5,341390
Netflix,Cop Out,MOVIE,2010,107,crime,5.5,88026
Netflix,Ip Man 2,MOVIE,2010,108,drama,7.5,104500
Netflix,Life As We Know It,MOVIE,2010,114,comedy,6.5,131623
Netflix,Death at a Funeral,MOVIE,2010,92,comedy,5.7,49901
Netflix,Louis C.K.: Hilarious,MOVIE,2010,84,comedy,8.4,12089
Netflix,Takers,MOVIE,2010,107,action,6.2,62464
Netflix,Alpha and Omega,MOVIE,2010,88,animation,5.1,14362
Netflix,Even the Rain,MOVIE,2010,104,drama,7.4,13533
Netflix,Udaan,MOVIE,2010,138,drama,8.1,44862
Netflix,"Cairo 6,7,8",MOVIE,2010,100,drama,7.4,4421
Netflix,The Boy Who Cried Werewolf,MOVIE,2010,97,fantasy,5.9,3315
Netflix,Whitney Cummings: Money Shot,MOVIE,2010,48,comedy,6.2,917
Netflix,Naruto Shippuden the Movie: The Lost Tower,MOVIE,2010,85,animation,6.8,3650
Netflix,Bleach the Movie: Hell Verse,MOVIE,2010,94,fantasy,7.4,2416
Netflix,Guzaarish,MOVIE,2010,126,romance,7.4,18603
Netflix,Raajneeti,MOVIE,2010,167,drama,7.1,17697
Netflix,Ishqiya,MOVIE,2010,115,thriller,7.3,10469
Netflix,I Hate Luv Storys,MOVIE,2010,129,comedy,5.6,8042
Netflix,"LSD: Love, Sex aur Dhokha",MOVIE,2010,108,drama,7.2,5684
Netflix,Break Ke Baad,MOVIE,2010,120,comedy,5.1,4275
Netflix,Dhobi Ghat,MOVIE,2010,102,drama,7.0,13167
Netflix,Karthik Calling Karthik,MOVIE,2010,135,thriller,7.1,12114
Netflix,Romantik Komedi,MOVIE,2010,95,comedy,5.3,5111
Netflix,Once Upon a Time in Mumbaai,MOVIE,2010,132,thriller,7.4,17642
Netflix,The Unjust,MOVIE,2010,119,thriller,6.6,2217
Netflix,We Are Family,MOVIE,2010,115,drama,5.6,3166
Netflix,Love in a Puff,MOVIE,2010,104,romance,7.1,2625
Netflix,Do Dooni Chaar,MOVIE,2010,146,drama,7.5,5594
Netflix,Peepli Live,MOVIE,2010,104,drama,7.4,12309
Netflix,Ijé: The Journey,MOVIE,2010,106,drama,6.2,110
Netflix,My Amnesia Girl,MOVIE,2010,110,comedy,6.7,432
Netflix,Stray Bullet,MOVIE,2010,76,drama,6.3,368
Netflix,Well Done Abba,MOVIE,2010,144,comedy,7.2,1902
Netflix,Once a Gangster,MOVIE,2010,95,comedy,5.7,500
Netflix,Chance Pe Dance,MOVIE,2010,121,drama,4.8,2979
Netflix,Bheem vs Aliens,MOVIE,2010,69,animation,7.6,38
Netflix,Tango with Me,MOVIE,2010,104,drama,6.3,46
Netflix,Project X,MOVIE,2012,88,comedy,6.6,207830
Netflix,Zero Dark Thirty,MOVIE,2012,157,thriller,7.4,296416
Netflix,The Amazing Spider-Man,MOVIE,2012,136,action,6.9,646119
Netflix,The Dark Knight Rises,MOVIE,2012,165,thriller,8.4,1669067
Netflix,Mission: Impossible - Ghost Protocol,MOVIE,2011,132,thriller,7.4,485301
Netflix,Margin Call,MOVIE,2011,107,thriller,7.1,128874
Netflix,Django Unchained,MOVIE,2012,165,western,8.4,1472668
Netflix,Les Misérables,MOVIE,2012,158,drama,7.5,327017
Netflix,Argo,MOVIE,2012,120,thriller,7.7,600392
Netflix,Kung Fu Panda 2,MOVIE,2011,90,animation,7.2,280433
Netflix,Contagion,MOVIE,2011,106,drama,6.8,301531
Netflix,Sherlock Holmes: A Game of Shadows,MOVIE,2011,129,action,7.4,449965
Netflix,Contraband,MOVIE,2012,109,action,6.4,122383
Netflix,Savages,MOVIE,2012,131,drama,6.4,129746
Netflix,Dark Shadows,MOVIE,2012,113,comedy,6.2,265626
Netflix,Total Recall,MOVIE,2012,118,scifi,6.2,253352
Netflix,The Smurfs,MOVIE,2011,103,animation,5.4,90097
Netflix,Soul Surfer,MOVIE,2011,106,drama,7.0,49599
Netflix,LOL,MOVIE,2012,92,drama,4.3,55976
Netflix,Unknown,MOVIE,2011,113,thriller,6.8,260783
Netflix,Rise of the Guardians,MOVIE,2012,97,fantasy,7.2,173157
Netflix,Here Comes the Boom,MOVIE,2012,105,action,6.4,90126
Netflix,Berserk: The Golden Age Arc I - The Egg of the King,MOVIE,2012,76,action,7.5,12548
Netflix,Rurouni Kenshin Part I: Origins,MOVIE,2012,134,action,7.4,26098
Netflix,Everything Must Go,MOVIE,2011,97,romance,6.4,50792
Netflix,Silenced,MOVIE,2011,125,drama,8.0,16423
Netflix,The Rite,MOVIE,2011,114,drama,6.0,97585
Netflix,Quartet,MOVIE,2012,98,drama,6.8,20297
